"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4229","should not log in with incorrect email","Playwright Windows 10","Sun Oct 12 12:07:35 UTC 2025","passed","Sun Oct 12 12:07:39 UTC 2025","User Authentication","Chrome 129.0.6668.29","",""
"","11457","should log in with valid credentials","Playwright Windows 10","Sun Oct 12 12:07:15 UTC 2025","passed","Sun Oct 12 12:07:26 UTC 2025","User Authentication","Chrome 129.0.6668.29","",""
"","4142","should not login with empty credentials","Playwright macOS Big sur","Sun Oct 12 12:08:24 UTC 2025","passed","Sun Oct 12 12:08:28 UTC 2025","User Authentication","WebKit 18.0","",""
"","11524","should log in with valid credentials","Playwright macOS Big sur","Sun Oct 12 12:07:52 UTC 2025","passed","Sun Oct 12 12:08:04 UTC 2025","User Authentication","WebKit 18.0","",""
"","6162","should not log in with incorrect password","Playwright macOS Big sur","Sun Oct 12 12:08:18 UTC 2025","passed","Sun Oct 12 12:08:24 UTC 2025","User Authentication","WebKit 18.0","",""
"","5200","should not log in with incorrect email","Playwright macOS Big sur","Sun Oct 12 12:08:13 UTC 2025","passed","Sun Oct 12 12:08:18 UTC 2025","User Authentication","WebKit 18.0","",""
"","4799","should redirect to reset password page after clicking the Forgot password","Playwright macOS Big sur","Sun Oct 12 12:08:28 UTC 2025","passed","Sun Oct 12 12:08:33 UTC 2025","User Authentication","WebKit 18.0","",""
"","3300","should not login with empty credentials","Playwright Windows 10","Sun Oct 12 12:07:44 UTC 2025","passed","Sun Oct 12 12:07:47 UTC 2025","User Authentication","Chrome 129.0.6668.29","",""
"","3999","should redirect to reset password page after clicking the Forgot password","Playwright Windows 10","Sun Oct 12 12:07:47 UTC 2025","passed","Sun Oct 12 12:07:51 UTC 2025","User Authentication","Chrome 129.0.6668.29","",""
"","4378","should not log in with incorrect password","Playwright Windows 10","Sun Oct 12 12:07:39 UTC 2025","passed","Sun Oct 12 12:07:44 UTC 2025","User Authentication","Chrome 129.0.6668.29","",""
